[+] Containers:
 |- [+] Container: /Game/NAlvarez_SchoolLevel
 |   |- [+] ActorDescs:
 |   |   |- Guid:00121283448FADC5D0B29AAD97B74CF0 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33C9C9402_1654357275 Label:SM_Computer_01a11 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=-1410.379 Y=-18343.504 Z=804.842), Max=(X=-1319.756 Y=-18248.145 Z=863.667) EditorBoundsRelative:IsValid=true, Center=(X=3.705 Y=13.447 Z=29.254), Rotation=(X=-0.000 Y=0.000 Z=90.000), Extents=(X=45.311 Y=47.680 Z=29.413) RuntimeBounds:IsValid=true, Min=(X=-1410.379 Y=-18343.504 Z=804.842), Max=(X=-1319.756 Y=-18248.145 Z=863.667) RuntimeBoundsRelative:IsValid=true, Center=(X=3.705 Y=13.447 Z=29.254), Rotation=(X=-0.000 Y=0.000 Z=90.000), Extents=(X=45.311 Y=47.680 Z=29.413) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Blockout/Floor 2/Computer Room FolderGuid:86B7AAC44CEEE582CE4F83A20836AD00 View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:002B452B4BE2B10DBD5A64A8B1BDAEDC NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33C9C9402_1172711246 Label:SM_Teachers_Desk_01a3 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=1669.968 Y=-3760.431 Z=699.950), Max=(X=2000.032 Y=-3639.569 Z=801.011) EditorBoundsRelative:IsValid=true, Center=(X=55.000 Y=0.000 Z=50.480), Rotation=(X=-0.000 Y=0.000 Z=90.000), Extents=(X=165.032 Y=40.287 Z=50.531) RuntimeBounds:IsValid=true, Min=(X=1669.968 Y=-3760.431 Z=699.950), Max=(X=2000.032 Y=-3639.569 Z=801.011) RuntimeBoundsRelative:IsValid=true, Center=(X=55.000 Y=0.000 Z=50.480), Rotation=(X=-0.000 Y=0.000 Z=90.000), Extents=(X=165.032 Y=40.287 Z=50.531) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Blockout/Floor 2/Biology FolderGuid:FFAC8A9A4563D2D928A5529CC672B32D View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:002DE8B94B1126516A8FBEBA735681D3 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33C9C9402_1654369283 Label:SM_Computer_01a17 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=-1518.296 Y=-17747.476 Z=804.842), Max=(X=-1412.491 Y=-17637.829 Z=863.667) EditorBoundsRelative:IsValid=true, Center=(X=3.705 Y=13.447 Z=29.254), Rotation=(X=0.000 Y=-0.000 Z=-80.000), Extents=(X=52.902 Y=54.823 Z=29.413) RuntimeBounds:IsValid=true, Min=(X=-1518.296 Y=-17747.476 Z=804.842), Max=(X=-1412.491 Y=-17637.829 Z=863.667) RuntimeBoundsRelative:IsValid=true, Center=(X=3.705 Y=13.447 Z=29.254), Rotation=(X=0.000 Y=-0.000 Z=-80.000), Extents=(X=52.902 Y=54.823 Z=29.413) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Blockout/Floor 2/Computer Room FolderGuid:86B7AAC44CEEE582CE4F83A20836AD00 View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:006349EF40B2ECE259E334B2AB207FA8 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33CF29302_1877619533 Label:SM_Locker_Door76 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=-3047.792 Y=-3851.082 Z=725.431), Max=(X=-2992.475 Y=-3848.429 Z=910.569) EditorBoundsRelative:IsValid=true, Center=(X=-27.659 Y=-0.000 Z=0.000), Rotation=(X=-0.000 Y=0.000 Z=0.000), Extents=(X=27.659 Y=1.326 Z=92.569) RuntimeBounds:IsValid=true, Min=(X=-3047.792 Y=-3851.082 Z=725.431), Max=(X=-2992.475 Y=-3848.429 Z=910.569) RuntimeBoundsRelative:IsValid=true, Center=(X=-27.659 Y=-0.000 Z=0.000), Rotation=(X=-0.000 Y=0.000 Z=0.000), Extents=(X=27.659 Y=1.326 Z=92.569) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Lockers FolderGuid:429C0BD04BDAA78F62AE37994D67E89A View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:007BAEE54B5542770DDBABBD65CF6EB2 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33C969402_2088170236 Label:BANCO_SCUOLA23 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=1159.061 Y=213.333 Z=880.290), Max=(X=1250.941 Y=280.039 Z=969.896) EditorBoundsRelative:IsValid=true, Center=(X=-0.001 Y=1.686 Z=44.907), Rotation=(X=180.000 Y=0.000 Z=180.000), Extents=(X=45.940 Y=33.353 Z=44.803) RuntimeBounds:IsValid=true, Min=(X=1159.061 Y=213.333 Z=880.290), Max=(X=1250.941 Y=280.039 Z=969.896) RuntimeBoundsRelative:IsValid=true, Center=(X=-0.001 Y=1.686 Z=44.907), Rotation=(X=180.000 Y=0.000 Z=180.000), Extents=(X=45.940 Y=33.353 Z=44.803) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Desk Barricade FolderGuid:4B2EA2D842D3EF4DC7C9A9A854117CE0 View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:00D93C704A4AF95588BA2B990D1E6460 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33CF29302_1655474512 Label:SM_Locker_Door69 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=-3437.244 Y=-2955.801 Z=725.431), Max=(X=-3381.927 Y=-2953.148 Z=910.569) EditorBoundsRelative:IsValid=true, Center=(X=-27.659 Y=0.000 Z=0.000), Rotation=(X=0.000 Y=-0.000 Z=-180.000), Extents=(X=27.659 Y=1.326 Z=92.569) RuntimeBounds:IsValid=true, Min=(X=-3437.244 Y=-2955.801 Z=725.431), Max=(X=-3381.927 Y=-2953.148 Z=910.569) RuntimeBoundsRelative:IsValid=true, Center=(X=-27.659 Y=0.000 Z=0.000), Rotation=(X=0.000 Y=-0.000 Z=-180.000), Extents=(X=27.659 Y=1.326 Z=92.569) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Lockers FolderGuid:429C0BD04BDAA78F62AE37994D67E89A View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:012A736645E1BEEBA8ABB79AE536E3F2 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33C969302_1430412200 Label:SM_Railings70 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=697.849 Y=-9905.000 Z=683.113), Max=(X=702.151 Y=-9755.000 Z=835.969) EditorBoundsRelative:IsValid=true, Center=(X=50.000 Y=-0.000 Z=50.952), Rotation=(X=0.000 Y=-0.000 Z=-90.000), Extents=(X=1.434 Y=50.000 Z=50.952) RuntimeBounds:IsValid=true, Min=(X=697.849 Y=-9905.000 Z=683.113), Max=(X=702.151 Y=-9755.000 Z=835.969) RuntimeBoundsRelative:IsValid=true, Center=(X=50.000 Y=-0.000 Z=50.952), Rotation=(X=0.000 Y=-0.000 Z=-90.000), Extents=(X=1.434 Y=50.000 Z=50.952) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Railings FolderGuid:4C8E2EDD46942426B15CE699956A51A0 View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:01588C684866CB50F514E7BD9C99A96F NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33C979302_1997591446 Label:SM_Railings140 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=-3200.140 Y=-16946.504 Z=683.113), Max=(X=-3195.839 Y=-16796.504 Z=835.969) EditorBoundsRelative:IsValid=true, Center=(X=50.000 Y=0.000 Z=50.952), Rotation=(X=-0.000 Y=0.000 Z=90.000), Extents=(X=1.434 Y=50.000 Z=50.952) RuntimeBounds:IsValid=true, Min=(X=-3200.140 Y=-16946.504 Z=683.113), Max=(X=-3195.839 Y=-16796.504 Z=835.969) RuntimeBoundsRelative:IsValid=true, Center=(X=50.000 Y=0.000 Z=50.952), Rotation=(X=-0.000 Y=0.000 Z=90.000), Extents=(X=1.434 Y=50.000 Z=50.952) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Railings FolderGuid:4C8E2EDD46942426B15CE699956A51A0 View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:016B203F410209F5728536951D85369D BaseClass:/Game/Blueprints/BP_Locker.BP_Locker_C NativeClass:/Script/Engine.Actor Name:BP_Locker_C_UAID_586C25FBB33CF39302_1413282768 Label:BP_Locker16 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=-565.332 Y=-20821.205 Z=-135.068), Max=(X=1454.668 Y=-18801.205 Z=1884.932) EditorBoundsRelative:IsValid=true, Center=(X=0.105 Y=4.512 Z=174.932), Rotation=(X=0.000 Y=-0.000 Z=-45.000), Extents=(X=1010.000 Y=1010.000 Z=1010.000) RuntimeBounds:IsValid=true, Min=(X=340.305 Y=-19865.382 Z=687.000), Max=(X=498.697 Y=-19706.990 Z=943.000) RuntimeBoundsRelative:IsValid=true, Center=(X=0.000 Y=40.000 Z=115.000), Rotation=(X=0.000 Y=-0.000 Z=-45.000), Extents=(X=79.196 Y=79.196 Z=128.000) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:false ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Lockers FolderGuid:429C0BD04BDAA78F62AE37994D67E89A View=(RuntimeGrid=MainGrid RuntimeHLODLayer=none bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:019F31E44672F45557BE43ABC1920D07 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33C969402_1892474224 Label:SM_Books_02e4 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=629.829 Y=-3425.005 Z=805.936), Max=(X=664.414 Y=-3390.420 Z=806.737) EditorBoundsRelative:IsValid=true, Center=(X=-17.522 Y=-12.729 Z=0.442), Rotation=(X=0.000 Y=-0.000 Z=-135.000), Extents=(X=21.604 Y=21.604 Z=0.500) RuntimeBounds:IsValid=true, Min=(X=629.829 Y=-3425.005 Z=805.936), Max=(X=664.414 Y=-3390.420 Z=806.737) RuntimeBoundsRelative:IsValid=true, Center=(X=-17.522 Y=-12.729 Z=0.442), Rotation=(X=0.000 Y=-0.000 Z=-135.000), Extents=(X=21.604 Y=21.604 Z=0.500) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Blockout/Floor 2/Science FolderGuid:0DC2E0D740E27B97E5346985B7CFE200 View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
 |   |   |- Guid:02BDD21940DBE7874EE617B760DA5D81 NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_586C25FBB33CF29302_2141674550 Label:SM_Locker_Door81 SpatiallyLoaded:true EditorBounds:IsValid=true, Min=(X=-3046.078 Y=-3104.137 Z=701.456), Max=(X=-2876.050 Y=-2934.110 Z=704.109) EditorBoundsRelative:IsValid=true, Center=(X=-27.659 Y=0.000 Z=-0.000), Rotation=(X=90.000 Y=45.000 Z=-180.000), Extents=(X=85.014 Y=85.014 Z=1.326) RuntimeBounds:IsValid=true, Min=(X=-3046.078 Y=-3104.137 Z=701.456), Max=(X=-2876.050 Y=-2934.110 Z=704.109) RuntimeBoundsRelative:IsValid=true, Center=(X=-27.659 Y=0.000 Z=-0.000), Rotation=(X=90.000 Y=45.000 Z=-180.000), Extents=(X=85.014 Y=85.014 Z=1.326) RuntimeGrid:None EditorOnly:false RuntimeOnly:false HLODRelevant:true ListedInSceneOutliner:true IsMainWorldOnly:false FolderPath:Lockers FolderGuid:429C0BD04BDAA78F62AE37994D67E89A View=(RuntimeGrid=MainGrid RuntimeHLODLayer=/Game/NAlvarez_SchoolLevel_HLOD0_Instancing.NAlvarez_SchoolLevel_HLOD0_Instancing bIsForcedNonSpatiallyLoaded=false bIsForcedNoRuntimeGrid=false bIsForcedNoDataLayers=false bIsForceNoHLODLayer=false bIsForcedHLODIrrelevant=false)
